isin,issuer,name,maturity_date,bucket,gt_ticker,in_core_matrix
BY195434 Corp,AAPL,AAPL 3 1/4 08/08/29,2029-08-08,3Y,GT3 Govt,Y
BQ791814 Corp,AAPL,AAPL 1.7 08/05/31,2031-08-05,5Y,GT5 Govt,Y
ZK536545 Corp,AAPL,AAPL 4.3 05/10/33,2033-05-10,7Y,GT7 Govt,Y
YO223460 Corp,AAPL,AAPL 4 3/4 05/12/35,2035-05-12,10Y,GT10 Govt,Y
QZ067739 Corp,AAPL,AAPL 3.85 08/04/46,2046-08-04,20Y,GT20 Govt,Y
ZK536546 Corp,AAPL,AAPL 4.85 05/10/53,2053-05-10,30Y,GT30 Govt,Y
DL926553 Corp,NVDA,NVDA 4.35 06/15/29,2029-06-15,3Y,GT3 Govt,Y
DL926556 Corp,NVDA,NVDA 4 1/2 06/15/31,2031-06-15,5Y,GT5 Govt,Y
DL926560 Corp,NVDA,NVDA 4 3/4 06/15/33,2033-06-15,7Y,GT7 Govt,Y
DL926563 Corp,NVDA,NVDA 4.95 06/15/36,2036-06-15,10Y,GT10 Govt,Y
DL926565 Corp,NVDA,NVDA 5.55 06/15/46,2046-06-15,20Y,GT20 Govt,Y
DL926546 Corp,NVDA,NVDA 5 5/8 06/15/56,2056-06-15,30Y,GT30 Govt,Y
YW974691 Corp,META,META 4.3 08/15/29,2029-08-15,3Y,GT3 Govt,Y
DK002336 Corp,META,META 4.55 05/15/31,2031-05-15,5Y,GT5 Govt,Y
DK002341 Corp,META,META 4 7/8 05/15/33,2033-05-15,7Y,GT7 Govt,Y
DK002349 Corp,META,META 5 1/4 05/15/36,2036-05-15,10Y,GT10 Govt,Y
DK002360 Corp,META,META 6.2 05/15/46,2046-05-15,20Y,GT20 Govt,Y
DK002368 Corp,META,META 6.3 05/15/56,2056-05-15,30Y,GT30 Govt,Y
YI913235 Corp,GOOGL,GOOGL 3.7 02/15/29,2029-02-15,3Y,GT3 Govt,Y
YI913236 Corp,GOOGL,GOOGL 4.1 02/15/31,2031-02-15,5Y,GT5 Govt,Y
YI913237 Corp,GOOGL,GOOGL 4.4 02/15/33,2033-02-15,7Y,GT7 Govt,Y
YI913238 Corp,GOOGL,GOOGL 4.8 02/15/36,2036-02-15,10Y,GT10 Govt,Y
YI913239 Corp,GOOGL,GOOGL 5 1/2 02/15/46,2046-02-15,20Y,GT20 Govt,Y
YI913240 Corp,GOOGL,GOOGL 5.65 02/15/56,2056-02-15,30Y,GT30 Govt,Y
ZF278034 Corp,MU,MU 5.3 01/15/31,2031-01-15,5Y,GT5 Govt,Y
ZK087872 Corp,MU,MU 5 7/8 09/15/33,2033-09-15,7Y,GT7 Govt,Y
YP951000 Corp,MU,MU 6.05 11/01/35,2035-11-01,10Y,GT10 Govt,Y
BS016828 Corp,MU,MU 3.366 11/01/41,2041-11-01,EXTRA_15Y,GT20 Govt,N
BV669408 Corp,AVGO,AVGO 4 04/15/29,2029-04-15,3Y,GT3 Govt,Y
YK309642 Corp,AVGO,AVGO 2.45 02/15/31,2031-02-15,5Y,GT5 Govt,Y
DC776281 Corp,AVGO,AVGO 4.6 01/15/33,2033-01-15,7Y,GT7 Govt,Y
DC776283 Corp,AVGO,AVGO 4.95 01/15/36,2036-01-15,10Y,GT10 Govt,Y
YK301350 Corp,AVGO,AVGO 3 1/2 02/15/41,2041-02-15,EXTRA_15Y,GT20 Govt,N
DC776285 Corp,AVGO,AVGO 5.7 01/15/56,2056-01-15,30Y,GT30 Govt,Y
DM926953 Corp,AMZN,AMZN 4.6 07/09/29,2029-07-09,3Y,GT3 Govt,Y
DG517946 Corp,AMZN,AMZN 4 1/4 03/13/31,2031-03-13,5Y,GT5 Govt,Y
DG517949 Corp,AMZN,AMZN 4.55 03/13/33,2033-03-13,7Y,GT7 Govt,Y
DG517950 Corp,AMZN,AMZN 4 7/8 03/13/36,2036-03-13,10Y,GT10 Govt,Y
DG517952 Corp,AMZN,AMZN 5.65 03/13/46,2046-03-13,20Y,GT20 Govt,Y
DG517954 Corp,AMZN,AMZN 5.8 03/13/56,2056-03-13,30Y,GT30 Govt,Y
YI663392 Corp,ORCL,ORCL 4.55 02/04/29,2029-02-04,3Y,GT3 Govt,Y
YI663394 Corp,ORCL,ORCL 4.95 02/04/31,2031-02-04,5Y,GT5 Govt,Y
YI663395 Corp,ORCL,ORCL 5.35 05/04/33,2033-05-04,7Y,GT7 Govt,Y
YI663396 Corp,ORCL,ORCL 5.7 02/04/36,2036-02-04,10Y,GT10 Govt,Y
YI663397 Corp,ORCL,ORCL 6.55 02/04/46,2046-02-04,20Y,GT20 Govt,Y
YI663398 Corp,ORCL,ORCL 6.7 02/04/56,2056-02-04,30Y,GT30 Govt,Y
