ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
US302154DM88,EIBKOR,AA,비금융,-49.853471549999995,5.809,individual_cache,-290.0,-476.0,-675.0
US65540KAK16,NACF,A+,비금융,-185.65627206000002,4.59,individual_cache,-852.0,-1402.0,-1986.0
US05971KAV17,SANTAN,A,비금융,-4089.4474741,4.692,individual_cache,-19188.0,-31564.0,-44707.0
US06051GNA30,BAC,A-,금융,-411.3235880999999,2.11,individual_cache,-868.0,-1428.0,-2022.0
US06738ECX13,BACR,BBB+,금융,-1515.42342,3.154,individual_cache,-4780.0,-7863.0,-11137.0
US06738EDJ10,BACR,A,금융,-3911.723919,2.381,individual_cache,-9314.0,-15321.0,-21701.0
US09659X3B68,BNP,A-,금융,-677.1520109399999,2.152,individual_cache,-1457.0,-2397.0,-3395.0
US11135FBY60,AVGO,A,비금융,-2317.3860541999998,18.768,individual_cache,-43493.0,-71545.0,-101338.0
US11135FBY60,AVGO,A,비금융,-1390.43163252,18.768,individual_cache,-26096.0,-42927.0,-60803.0
US38141GF335,GS,BBB+,금융,-4235.4870453,2.3,individual_cache,-9742.0,-16025.0,-22698.0
US38141GF335,GS,BBB+,금융,-4235.4870453,2.3,individual_cache,-9742.0,-16025.0,-22698.0
US38141GWV21,GS,A-,금융,-248.04947334,3.151,individual_cache,-782.0,-1286.0,-1821.0
US404280CV97,HSBC,A-,금융,-942.3499123500001,3.04,individual_cache,-2865.0,-4713.0,-6675.0
US404280FL88,HSBC,A,금융,-3974.3903888,2.513,individual_cache,-9988.0,-16430.0,-23271.0
US44891CCU53,HYNMTR,A-,비금융,-2770.8610406400003,2.546,individual_cache,-7055.0,-11605.0,-16437.0
US44891CDD20,HYNMTR,A-,비금융,-3425.383856,1.828,individual_cache,-6262.0,-10300.0,-14590.0
US44891CDQ33,HYNMTR,A-,비금융,-3253.1156174000002,1.907,individual_cache,-6204.0,-10205.0,-14455.0
US44891CED11,HYNMTR,A-,비금융,-454.6680243999999,1.702,individual_cache,-774.0,-1273.0,-1803.0
US44891CEP41,HYNMTR,A-,비금융,-422.50061572,1.734,individual_cache,-733.0,-1205.0,-1707.0
US456837BU63,INTEND,A,금융,-4037.9101096,2.63,individual_cache,-10620.0,-17469.0,-24744.0
US606822DS05,MUFG,A-,금융,-1917.0510099,1.931,individual_cache,-3702.0,-6090.0,-8625.0
US60687YDL02,MIZUHO,A,금융,-353.96501193000006,2.564,individual_cache,-908.0,-1493.0,-2115.0
US61690DK726,MS,A-,금융,-1402.4733866000004,2.804,individual_cache,-3933.0,-6469.0,-9163.0
US61747YFY68,MS,A-,금융,-1641.2542244999997,2.565,individual_cache,-4210.0,-6925.0,-9809.0
US65535HAY53,NOMURA,BBB+,금융,-5075.668943043999,2.815,individual_cache,-14288.0,-23504.0,-33291.0
US65535HBM07,NOMURA,BBB+,금융,-1856.2365323999998,2.82,individual_cache,-5235.0,-8611.0,-12197.0
US65535HCL15,NOMURA,BBB+,금융,-433.66975105999995,2.643,individual_cache,-1146.0,-1885.0,-2671.0
US780097BG51,NWG,BBB+,금융,-2262.9771099,2.966,individual_cache,-6712.0,-11041.0,-15639.0
US82460EAN04,SHINHAN,BBB+,금융,-1237.9769182999999,2.698,individual_cache,-3340.0,-5494.0,-7782.0
US83368TCJ51,SOCGEN,BBB,금융,-174.78949679999997,2.469,individual_cache,-432.0,-710.0,-1006.0
US86562MED83,SUMIBK,A,금융,-1918.6485175999999,2.092,individual_cache,-4014.0,-6603.0,-9352.0
